jsonkey_identifier	rdfs:type	schema:name	schema:description	dcterms:creator	schema:image	schema:geo
TX_MOD_25	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=25	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_26	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=26	1120862_LOCAL STREETS	This is route ID 1120862 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_27	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=27	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_28	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=28	1130285_LOCAL STREETS	This is route ID 1130285 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_29	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=29	1124407_LOCAL STREETS	This is route ID 1124407 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_30	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=30	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_31	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=31	1124407_LOCAL STREETS	This is route ID 1124407 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_32	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=32	1122772_LOCAL STREETS	This is route ID 1122772 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_33	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=33	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_34	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=34	1120874_LOCAL STREETS	This is route ID 1120874 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_35	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=35	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_36	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=36	1123971_LOCAL STREETS	This is route ID 1123971 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_37	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=37	1128138_LOCAL STREETS	This is route ID 1128138 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_38	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=38	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_39	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=39	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_40	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=40	1126430_LOCAL STREETS	This is route ID 1126430 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_41	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=41	1120851_LOCAL STREETS	This is route ID 1120851 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_42	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=42	1120947_LOCAL STREETS	This is route ID 1120947 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_43	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=43	1120948_LOCAL STREETS	This is route ID 1120948 with Monitor status	Floodcast_Dewberry	NA	NA
TX_MOD_44	http://54.225.76.222/geoserver/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ELFIE_MODERATE_TX_RDS&featureID=44	1130282_LOCAL STREETS	This is route ID 1130282 with Monitor status	Floodcast_Dewberry	NA	NA
