"jsonkey_statid"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"
"1984_4430_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4435_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4438_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4440_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4441_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4444_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4445_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4540_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4541_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4542_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4543_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4544_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4545_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4546_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4547_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4548_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4549_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4550_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4551_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4552_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4553_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4554_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4555_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4556_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4557_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4558_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4559_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4560_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4561_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4562_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4563_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4564_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4565_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4566_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4567_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4568_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4569_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4570_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4572_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4574_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4575_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4576_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4577_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4578_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4579_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4580_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4581_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4582_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4583_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4584_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4585_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4586_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4587_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4588_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4589_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4590_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4591_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4592_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4593_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4594_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4595_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4596_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4597_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4598_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4599_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4600_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4601_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4602_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4603_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4604_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4605_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4606_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4607_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4608_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4609_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4610_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4611_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4618_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4619_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4620_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4621_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4622_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4623_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4624_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4625_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4626_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4628_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4629_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4630_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4631_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4632_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4633_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4634_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4635_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4636_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4637_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4638_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4639_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4640_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4641_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4642_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4643_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4644_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4675_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4645_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4646_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4647_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4648_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4649_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4650_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4651_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4652_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4653_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4654_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4655_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4656_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4657_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4658_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4659_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4660_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4661_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4662_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4663_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4664_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4665_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4666_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4667_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4668_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4669_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4670_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4671_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4672_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4673_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4674_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4676_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4677_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4678_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4679_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4680_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4681_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4682_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4686_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5859_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5860_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4832_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4841_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4842_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_4843_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5124_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5749_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5140_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5142_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5144_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5145_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5146_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5147_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5149_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5150_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5152_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5153_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5154_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5155_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5156_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5157_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5158_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5159_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5160_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5161_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5162_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5163_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5164_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5165_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5166_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5167_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5168_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5169_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5170_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5171_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5172_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5173_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5174_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5175_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5179_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5180_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5181_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5182_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5183_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5184_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5186_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5187_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5188_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5189_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5190_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5191_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5192_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5193_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5194_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5195_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5196_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5198_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5199_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5200_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5201_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5202_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5203_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5205_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5206_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5207_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5208_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5209_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5211_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5213_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5215_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5433_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5688_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5856_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5750_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5426_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5427_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5428_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5429_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5430_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5431_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5432_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5434_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5435_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5436_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5437_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5438_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5439_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5440_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5441_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5442_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5443_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5444_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5445_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5446_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5447_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5448_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5450_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5451_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5452_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5453_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5454_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5455_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5456_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5457_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5458_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5459_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5460_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5461_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5462_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5463_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5464_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5465_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5466_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5467_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5468_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5469_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5470_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5471_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5472_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5473_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5474_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5475_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5476_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5477_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5478_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5479_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5480_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5481_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5482_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5483_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5484_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5485_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5486_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5487_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5488_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5489_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5490_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5491_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5492_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5493_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5494_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5495_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5496_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5497_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5498_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5499_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5500_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5501_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5502_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5503_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5504_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5505_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5506_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5507_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5508_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5509_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5510_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5511_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5512_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5513_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5514_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5515_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5516_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5517_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5518_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5519_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5520_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5521_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5522_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5523_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5524_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5525_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5526_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5527_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5808_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5528_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5529_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5530_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5531_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5532_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5533_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5534_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5535_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5536_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5537_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5538_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5539_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5540_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5541_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5542_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5543_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5544_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5545_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5546_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5547_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5548_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5549_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5550_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5551_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5552_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5553_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5554_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5555_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5556_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5557_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5558_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5559_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5560_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5561_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5562_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5563_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5564_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5565_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5566_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5567_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5568_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5569_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5570_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5571_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5572_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5573_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5574_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5575_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
"1984_5576_100"	"gwml2:GW_Well"	NA	"description not available"	NA	NA
